# time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  final_nse_mass  
1.44156802732914e+00  2.70782778368521e+33  4.91743289770542e+41  -6.27079663416588e+37  0.00000000000000e+00  1.22878650025188e+51  1.04666185641766e+50  1.12412031461011e+51  -1.27025072074620e+51  -2.12041091895698e+52  4.64182742790203e+48  7.82604618389882e+32  7.43524794330438e+32  6.23394568837439e+32  6.87462875189628e+32  4.96588039885835e+32  0.00000000000000e+00  0.00000000000000e+00  3.80832496653527e+32  1.53567724130639e+33  1.88831388004762e+33  2.10891500132451e+33  2.36076475999146e+33  2.48244590338302e+33  2.63592567517514e+33  2.69214131093633e+33  1.96865384742694e+08  4.95437102799839e+06  -4.14642204943225e+49  1.92792295652915e+33  
1.38271204090082e+00  2.70663987350320e+33  5.02450050046082e+41  2.71522115202208e+38  0.00000000000000e+00  1.22087661451798e+51  1.09420130830104e+50  1.11145648368788e+51  -1.23240487968020e+51  -2.12245879390945e+52  5.36958061399716e+48  8.20035381558779e+32  7.88107130667613e+32  6.70244814248044e+32  6.81840189763455e+32  5.27887026371015e+32  0.00000000000000e+00  0.00000000000000e+00  2.74105937679382e+32  1.49656231963616e+33  1.90312856631705e+33  2.12524933276874e+33  2.33679953404537e+33  2.46193736543802e+33  2.61655343677605e+33  2.68807659456910e+33  1.73947850151536e+08  4.30710813346343e+06  -1.15282651622198e+49  1.86158245962328e+33  
1.47494336894661e+00  2.70663638086557e+33  5.71944437655379e+41  2.03721797777117e+38  0.00000000000000e+00  1.05548689066680e+51  1.32368723168591e+50  9.23118167498212e+50  -1.06344213970271e+51  -2.12287596581023e+52  6.23446973717357e+48  8.06492592444048e+32  7.66858896480871e+32  6.67182817871114e+32  7.44435106042058e+32  5.09672187420723e+32  0.00000000000000e+00  0.00000000000000e+00  3.95126198614851e+31  9.89055801197519e+32  1.52647667404182e+33  1.83258116479431e+33  2.16506741907004e+33  2.32485452796585e+33  2.56293735335667e+33  2.67264559977942e+33  1.96204059349482e+08  9.03164027348503e+05  -7.95524903591052e+48  1.64762464350806e+33  
1.27995000680165e+00  2.70663088485573e+33  4.44950228846143e+41  1.09875263783312e+38  0.00000000000000e+00  1.22262172696142e+51  8.29953442222582e+49  1.13962638273916e+51  -1.32826726563090e+51  -2.11312320542953e+52  6.37126967865688e+48  6.69523935819847e+32  6.51381573887127e+32  5.80515919723063e+32  6.00407087760398e+32  4.28098820969519e+32  0.00000000000000e+00  0.00000000000000e+00  3.64466998067871e+32  1.78141636629520e+33  2.06330297769284e+33  2.24030457664406e+33  2.41140398624619e+33  2.50928519133330e+33  2.64100642822226e+33  2.69054328975761e+33  2.05876520075745e+08  6.50973541100415e+06  -1.05645538669481e+50  1.97625901522766e+33  
1.47733812926905e+00  2.70661193743283e+33  3.62095185774331e+41  5.58845301117429e+38  0.00000000000000e+00  1.31151132008947e+51  9.26074092565393e+49  1.21890391083293e+51  -1.40361861357960e+51  -2.11424165411610e+52  3.33517530584059e+48  7.28504949483752e+32  6.28784737667419e+32  4.41425126705218e+32  4.58813687165079e+32  3.53279182889463e+32  0.00000000000000e+00  0.00000000000000e+00  8.02123134125835e+32  1.68156145985112e+33  1.90198371364096e+33  2.04975258199103e+33  2.25054759099145e+33  2.38688302098610e+33  2.58470955408282e+33  2.68101125293951e+33  2.76657480520967e+08  2.71886742844533e+06  -9.21072934901261e+49  2.11195438421201e+33  
1.36810343685295e+00  2.70662517936052e+33  3.49274623542129e+41  1.58804147201894e+38  0.00000000000000e+00  1.28298390117053e+51  7.26746791034370e+49  1.21030922206709e+51  -1.46647315061804e+51  -2.10503889217159e+52  3.41732783829343e+48  5.31814546363397e+32  5.01963643333820e+32  4.14393071653779e+32  4.80488339078633e+32  3.25473728099704e+32  0.00000000000000e+00  6.06155130454159e+30  8.95055745243369e+32  1.72582620061697e+33  1.99238347604557e+33  2.16002973414705e+33  2.36223300967017e+33  2.50757607517778e+33  2.64828355460819e+33  2.69274064818984e+33  3.09373711223997e+08  4.52147188835058e+06  -1.83489249447513e+50  2.11340330976647e+33  
1.46039054076406e+00  2.70662578518760e+33  4.48172169631259e+41  3.08987259084126e+38  0.00000000000000e+00  1.14729761305442e+51  9.69719214672298e+49  1.05032569158719e+51  -1.25102322953953e+51  -2.11306877965708e+52  3.62971450129993e+48  6.73234611653544e+32  6.26490406396187e+32  5.01148200567536e+32  6.19120731002301e+32  4.01847000743423e+32  0.00000000000000e+00  0.00000000000000e+00  4.55313646873493e+32  1.37328765578771e+33  1.73703035551476e+33  1.97881870962127e+33  2.21583859272808e+33  2.37543611842201e+33  2.60310075485430e+33  2.68448248058625e+33  1.98629484086571e+08  2.00986864325903e+06  -1.03725616485112e+50  1.86760299809464e+33  
1.37940017591282e+00  2.70663646496494e+33  4.33123605696375e+41  -9.21336035047489e+37  0.00000000000000e+00  1.21696404840667e+51  8.75448373521007e+49  1.12941921105457e+51  -1.32382094212128e+51  -2.11280647789206e+52  4.32364489496240e+48  6.59791072389298e+32  6.39226193528351e+32  5.44532839439103e+32  6.04539576795670e+32  4.29513375982448e+32  0.00000000000000e+00  0.00000000000000e+00  5.25009031473945e+32  1.63407726217684e+33  1.93948316183374e+33  2.14706365759867e+33  2.36052273616280e+33  2.49789252614143e+33  2.63805349311697e+33  2.69039299808477e+33  2.25453135998710e+08  5.83817382013721e+06  -1.06856893714616e+50  1.99225175805772e+33  
1.31256803736810e+00  2.70541705027504e+33  4.42804946857957e+41  8.25964783329930e+37  0.00000000000000e+00  1.20327331716947e+51  8.45096606621033e+49  1.11876365650737e+51  -1.28810059200143e+51  -2.11406703141429e+52  5.31140272227008e+48  6.94770907797920e+32  6.74106906995833e+32  5.85985511096605e+32  6.05062355638691e+32  4.50870606172572e+32  0.00000000000000e+00  0.00000000000000e+00  3.54550076958701e+32  1.68931941773799e+33  2.01494614976342e+33  2.19779670472044e+33  2.38009343023247e+33  2.48596918292701e+33  2.63087154594903e+33  2.68853860090087e+33  1.95843690950558e+08  6.54535726019486e+06  -8.48272748319620e+49  1.92891055951409e+33  
1.30326262429166e+00  2.70541424814790e+33  4.63859860751180e+41  9.75927128904183e+37  0.00000000000000e+00  1.19149098099385e+51  9.39894914098744e+49  1.09750148958397e+51  -1.25622006031468e+51  -2.11615026005411e+52  5.96781170699530e+48  7.43682325283857e+32  6.99774875544763e+32  5.94715467976355e+32  6.27883546153673e+32  4.48000249310321e+32  0.00000000000000e+00  0.00000000000000e+00  2.46292349971749e+32  1.62534148818382e+33  1.96004902368974e+33  2.12722306101042e+33  2.34372688729638e+33  2.45902726915650e+33  2.61990268395724e+33  2.68817654229984e+33  1.75706852025347e+08  4.42608594995754e+06  -6.47290793208364e+49  1.99223508280867e+33  
1.42026828266543e+00  2.70541094284147e+33  5.57585082124544e+41  1.51693998229694e+38  0.00000000000000e+00  1.03700762564258e+51  1.32559626554416e+50  9.04447999088165e+50  -1.05140711599310e+51  -2.12121546644438e+52  6.29675924095219e+48  7.98494373174829e+32  7.49357311262319e+32  6.44630068589197e+32  7.23176378106141e+32  4.88929503003048e+32  0.00000000000000e+00  0.00000000000000e+00  3.45996085541450e+31  9.56121926942532e+32  1.45076415188463e+33  1.77746054628192e+33  2.10097378020611e+33  2.26448389349403e+33  2.52616150106467e+33  2.66603951023657e+33  1.11434360357717e+08  9.04444282543344e+05  -1.43994903505213e+49  1.69987201413221e+33  
1.35889606588486e+00  2.70538319355966e+33  2.94882153937866e+41  5.18763796698230e+38  0.00000000000000e+00  1.26865381827867e+51  5.82951387061953e+49  1.21035867957247e+51  -1.50807897006864e+51  -2.09835827883861e+52  3.30305923911927e+48  4.25903735647625e+32  4.02601417818528e+32  3.23368927600238e+32  3.86098305224936e+32  2.43606159528836e+32  0.00000000000000e+00  3.81628821501788e+31  9.66152939824929e+32  1.80472675061661e+33  2.03396699644231e+33  2.19423726518084e+33  2.40047258595182e+33  2.52736993309585e+33  2.64572386938770e+33  2.69065592416417e+33  3.34575319667609e+08  7.06710964537711e+06  -2.39425151789973e+50  2.14610387096087e+33  
1.41446876276022e+00  2.70540281531573e+33  3.82171554999534e+41  1.98522458433858e+38  0.00000000000000e+00  1.19555502819094e+51  8.37157258558191e+49  1.11183930233512e+51  -1.34381263373727e+51  -2.10754808220373e+52  3.33381558315744e+48  6.09961652951522e+32  5.43402450286056e+32  4.15668227868519e+32  5.15186665707767e+32  3.28378953556967e+32  0.00000000000000e+00  0.00000000000000e+00  6.88874693777117e+32  1.56479738112100e+33  1.83889643966994e+33  1.98688815628133e+33  2.20428543320581e+33  2.37471485851563e+33  2.62445901475396e+33  2.68661305723781e+33  2.49234545943760e+08  2.74827185293055e+06  -1.48257605546335e+50  1.97319715581247e+33  
1.39608284105148e+00  2.70540657538779e+33  4.02404107242991e+41  2.05649503643055e+38  0.00000000000000e+00  1.15298126463598e+51  7.65864792655591e+49  1.07639478537042e+51  -1.30003044514281e+51  -2.10769227562891e+52  3.68555503150059e+48  5.88279952242536e+32  5.59184597015281e+32  4.64054228686774e+32  5.49155446760888e+32  3.66492466088136e+32  0.00000000000000e+00  0.00000000000000e+00  5.18336672978848e+32  1.51799928004139e+33  1.86238614885407e+33  2.05120910553576e+33  2.29902441862996e+33  2.47202637585071e+33  2.62513792386549e+33  2.68636777901818e+33  2.10570195530511e+08  5.49738610215198e+06  -1.47049180506827e+50  1.94658118814753e+33  
1.37192188789982e+00  2.70541407002197e+33  4.44564645242721e+41  1.66847852362536e+38  0.00000000000000e+00  1.17460747899765e+51  8.95192119183641e+49  1.08508826707929e+51  -1.27008895066211e+51  -2.11291449674018e+52  4.22691538079512e+48  6.78008914689599e+32  6.43321078561702e+32  5.36813586302701e+32  6.05462361069873e+32  4.24417150923142e+32  0.00000000000000e+00  0.00000000000000e+00  4.38709696162059e+32  1.46122294204529e+33  1.82311570934811e+33  2.07014311191221e+33  2.32697098583885e+33  2.46342634027016e+33  2.62356174016753e+33  2.68717792456407e+33  2.12720835137393e+08  4.96622483394835e+06  -9.54814716644524e+49  1.89662166195433e+33  
