----------
7  4.00000918297284e+00  2.69691767112862e+33  1.99064723482003e+42  8.85893517278014e+38  0.00000000000000e+00  1.48379532398158e+51  1.41899076793640e+51  6.48045560451795e+49  -9.12150325917193e+49  -2.23286444874500e+52  8.55240282641904e+48  2.68694353657871e+33  2.55712620568626e+33  2.32117696243744e+33  6.06243160761959e+32  2.00533859141006e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  5.39741957520119e+04  2.16893113835278e+02  1.39258029138986e+51  
----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
8  0.00000000000000e+00  2.69876551143555e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07700728612446e+51  0.00000000000000e+00  2.07700728612446e+51  -2.54633528530344e+51  -2.04612743496966e+52  0.00000000000000e+00  1.62294352336160e+31  1.62294352336160e+31  1.62294352336160e+31  1.62294352336160e+31  1.49916808686361e+31  2.21610786178612e+32  1.38751567888533e+33  2.09951958072602e+33  2.48752956443053e+33  2.55605086176590e+33  2.59208242409563e+33  2.63018395377601e+33  2.65294860002025e+33  2.68238722745615e+33  2.69503043283045e+33  1.35973063785468e+09  1.26051737420497e+09  -4.69327999178979e+50  
8  4.00053830647003e+00  2.69810716045564e+33  1.98958186748852e+42  1.17305097116272e+39  0.00000000000000e+00  1.48175765135110e+51  1.40954117854521e+51  7.22164728058989e+49  -9.61996402594443e+49  -2.23266087127681e+52  8.48640419859880e+48  2.68887487493927e+33  2.54788515766492e+33  2.27346964322969e+33  6.25517514729037e+32  1.96190538274690e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  6.95586568931854e+04  4.22930558005208e+03  1.38555801109166e+51  
----------
Realization  time  mass  x-momentum  y-momentum  z-momentum  E_internal+kinetic  E_kinetic (from vel)  E_internal  E_grav  E_nuc  E_neutloss  mass burned  mass burned to NSQE  mass burned to NSE  mass burned by flame  estimated Ni56 mass  mass with dens > 1e9  mass with dens > 3e8  mass with dens > 1e8  mass with dens > 3e7  mass with dens > 2e7  mass with dens > 1.5e7  mass with dens > 1e7  mass with dens > 7e6  mass with dens > 3e6  mass with dens > 1e6  maximum density  minimum flame density  E_binding  
9  0.00000000000000e+00  2.69861701431078e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  2.07698955034132e+51  0.00000000000000e+00  2.07698955034132e+51  -2.54594074691983e+51  -2.04604062891888e+52  0.00000000000000e+00  1.69200792051959e+31  1.69200792051959e+31  1.69200792051959e+31  1.69200792051959e+31  1.56296521761236e+31  2.21462289053838e+32  1.38736718176055e+33  2.09937108360125e+33  2.48738106730576e+33  2.55590236464113e+33  2.59193392697085e+33  2.63003545665124e+33  2.65280010289548e+33  2.68223873033137e+33  2.69488193570567e+33  1.33826722576852e+09  1.24292096340503e+09  -4.68951196578507e+50  
9  4.00064790909089e+00  2.69739013719491e+33  1.95681319053640e+42  1.84399313374429e+39  0.00000000000000e+00  1.40708866243408e+51  1.31634771830580e+51  9.07409441282719e+49  -1.01855109676649e+50  -2.22465265735362e+52  8.50826107626793e+48  2.67990954942205e+33  2.45798066967749e+33  2.03786897584594e+33  6.95368371614004e+32  1.74306811635252e+33  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  0.00000000000000e+00  7.54036083391295e+04  5.95097285867771e+03  1.30523355275743e+51  
----------
